INFO  - 2014-06-17 15:48:47.418; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-06-17 15:48:47.519; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/mueller/websearcher/solr-4.8.1/example/contexts at interval 0
INFO  - 2014-06-17 15:48:47.534; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/mueller/websearcher/solr-4.8.1/example/contexts/solr-jetty-context.xml
INFO  - 2014-06-17 15:48:47.764; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/mueller/websearcher/solr-4.8.1/example/webapps/solr.war!/ to /Users/mueller/websearcher/solr-4.8.1/example/solr-webapp/webapp
INFO  - 2014-06-17 15:48:51.092; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-06-17 15:48:51.201; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-06-17 15:48:51.257; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-06-17 15:48:51.258; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-06-17 15:48:51.259; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-06-17 15:48:51.615; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/mueller/websearcher/solr-4.8.1/example/solr/solr.xml
INFO  - 2014-06-17 15:48:52.071; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/mueller/websearcher/solr-4.8.1/example/solr
INFO  - 2014-06-17 15:48:52.081; org.apache.solr.core.CoreContainer; New CoreContainer 331071225
INFO  - 2014-06-17 15:48:52.083; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-06-17 15:48:52.100; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-06-17 15:48:52.100; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-06-17 15:48:52.108; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-06-17 15:48:52.115; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-06-17 15:48:52.115; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
